name,lat,lon,ercot_weather_zone,ercot_load_zone
1001,31.8414,-102.315,Far_west,west
1002,29.888046,-104.519139,Far_west,west
1003,32.926389,-101.647778,North,west
1004,32.926389,-101.647778,North,west
1005,32.240278,-101.473611,West,west
1006,32.240278,-101.473611,West,west
1007,31.09348,-104.624514,Far_west,west
1008,30.976638,-102.257753,Far_west,west
1009,30.976638,-102.257753,Far_west,west
1010,29.6,-104.3,Far_west,west
1011,29.6,-104.3,Far_west,west
1012,30.028067,-101.970461,West,west
1013,31.484586,-103.161046,Far_west,west
1014,31.165245,-103.125868,Far_west,west
1015,30.285296,-104.005761,Far_west,west
1016,31.74325,-101.493407,West,west
1017,31.725171,-102.413607,Far_west,west
1018,31.799171,-102.632933,Far_west,west
1019,31.979427,-102.132366,Far_west,west
1020,31.9925,-101.1167,West,west
1021,31.9925,-101.1167,West,west
1022,32.929014,-101.578617,North,west
1023,32.929014,-101.578617,North,west
1024,32.0015,-102.6337,Far_west,west
1025,32.039,-101.22,West,west
1026,32.039,-101.22,West,west
1027,32.321673,-102.042298,Far_west,west
1028,32.875073,-101.208955,North,west
1029,31.992384,-102.081464,Far_west,west
1030,29.802094,-103.22236,Far_west,west
1031,31.004969,-103.759065,Far_west,west
1032,31.219444,-102.19222,Far_west,west
1033,31.219444,-102.19222,Far_west,west
1034,31.991442,-101.302637,West,west
1035,31.991442,-101.302637,West,west
1036,31.10409,-102.60625,Far_west,west
1037,31.799158,-102.47409,Far_west,west
1038,30.772575,-102.505808,Far_west,west
1039,30.772575,-102.505808,Far_west,west
1040,32.335729,-102.697303,Far_west,west
1041,32.1408,-101.3986,West,west
1042,32.1408,-101.3986,West,west
1044,31.207988,-101.110787,West,west
1045,32.053604,-102.20166,Far_west,west
1046,30.575618,-101.331239,West,west
1047,31.5839,-102.9633,Far_west,west
1048,31.5839,-102.9633,Far_west,west
1049,31.5839,-102.9633,Far_west,west
1050,31.5839,-102.9633,Far_west,west
1051,31.5839,-102.9633,Far_west,west
1052,31.5839,-102.9633,Far_west,west
1053,31.5839,-102.9633,Far_west,west
1054,32.489818,-101.754488,North,west
1055,32.92701,-101.764414,North,west
1056,32.2353,-101.8367,Far_west,west
1057,32.2353,-101.8367,Far_west,west
1058,30.8847,-101.9208,Far_west,west
1061,32.273178,-101.422386,West,west
1062,32.273178,-101.422386,West,west
1063,32.273178,-101.422386,West,west
1064,32.001129,-102.312423,Far_west,west
1065,32.100823,-101.451385,West,west
1066,32.100823,-101.451385,West,west
1067,32.1217,-101.3853,West,west
1068,31.517628,-101.918007,Far_west,west
1069,30.9178,-102.0867,Far_west,west
1070,30.9178,-102.0867,Far_west,west
1071,31.8403,-102.3264,Far_west,west
1072,31.8403,-102.3264,Far_west,west
1073,31.8403,-102.3264,Far_west,west
1074,31.8403,-102.3264,Far_west,west
1075,31.8403,-102.3264,Far_west,west
1076,31.8403,-102.3264,Far_west,west
1077,31.8403,-102.3264,Far_west,west
1079,31.8403,-102.3264,Far_west,west
1081,31.8403,-102.3264,Far_west,west
1082,30.807272,-102.355628,Far_west,west
1083,30.747459,-102.790792,Far_west,west
1084,31.9361,-101.2983,West,west
1085,31.696251,-103.138992,Far_west,west
1086,31.803547,-103.599914,Far_west,west
1087,30.596998,-101.78453,Far_west,west
1088,31.2092,-102.2417,Far_west,west
1089,32.929648,-102.133506,North,west
