name,lat,lon,ercot_weather_zone
1001,31.8414,-102.315,Far_west
1002,29.888046,-104.519139,Far_west
1003,32.926389,-101.647778,North
1004,32.926389,-101.647778,North
1005,32.240278,-101.473611,West
1006,32.240278,-101.473611,West
1007,31.09348,-104.624514,Far_west
1008,30.976638,-102.257753,Far_west
1009,30.976638,-102.257753,Far_west
1010,29.6,-104.3,Far_west
1011,29.6,-104.3,Far_west
1012,30.028067,-101.970461,West
1013,31.484586,-103.161046,Far_west
1014,31.165245,-103.125868,Far_west
1015,30.285296,-104.005761,Far_west
1016,31.74325,-101.493407,West
1017,31.725171,-102.413607,Far_west
1018,31.799171,-102.632933,Far_west
1019,31.979427,-102.132366,Far_west
1020,31.9925,-101.1167,West
1021,31.9925,-101.1167,West
1022,32.929014,-101.578617,North
1023,32.929014,-101.578617,North
1024,32.0015,-102.6337,Far_west
1025,32.039,-101.22,West
1026,32.039,-101.22,West
1027,32.321673,-102.042298,Far_west
1028,32.875073,-101.208955,North
1029,31.992384,-102.081464,Far_west
1030,29.802094,-103.22236,Far_west
1031,31.004969,-103.759065,Far_west
1032,31.219444,-102.19222,Far_west
1033,31.219444,-102.19222,Far_west
1034,31.991442,-101.302637,West
1035,31.991442,-101.302637,West
1036,31.10409,-102.60625,Far_west
1037,31.799158,-102.47409,Far_west
1038,30.772575,-102.505808,Far_west
1039,30.772575,-102.505808,Far_west
1040,32.335729,-102.697303,Far_west
1041,32.1408,-101.3986,West
1042,32.1408,-101.3986,West
1044,31.207988,-101.110787,West
1045,32.053604,-102.20166,Far_west
1046,30.575618,-101.331239,West
1047,31.5839,-102.9633,Far_west
1048,31.5839,-102.9633,Far_west
1049,31.5839,-102.9633,Far_west
1050,31.5839,-102.9633,Far_west
1051,31.5839,-102.9633,Far_west
1052,31.5839,-102.9633,Far_west
1053,31.5839,-102.9633,Far_west
1054,32.489818,-101.754488,North
1055,32.92701,-101.764414,North
1056,32.2353,-101.8367,Far_west
1057,32.2353,-101.8367,Far_west
1058,30.8847,-101.9208,Far_west
1061,32.273178,-101.422386,West
1062,32.273178,-101.422386,West
1063,32.273178,-101.422386,West
1064,32.001129,-102.312423,Far_west
1065,32.100823,-101.451385,West
1066,32.100823,-101.451385,West
1067,32.1217,-101.3853,West
1068,31.517628,-101.918007,Far_west
1069,30.9178,-102.0867,Far_west
1070,30.9178,-102.0867,Far_west
1071,31.8403,-102.3264,Far_west
1072,31.8403,-102.3264,Far_west
1073,31.8403,-102.3264,Far_west
1074,31.8403,-102.3264,Far_west
1075,31.8403,-102.3264,Far_west
1076,31.8403,-102.3264,Far_west
1077,31.8403,-102.3264,Far_west
1079,31.8403,-102.3264,Far_west
1081,31.8403,-102.3264,Far_west
1082,30.807272,-102.355628,Far_west
1083,30.747459,-102.790792,Far_west
1084,31.9361,-101.2983,West
1085,31.696251,-103.138992,Far_west
1086,31.803547,-103.599914,Far_west
1087,30.596998,-101.78453,Far_west
1088,31.2092,-102.2417,Far_west
1089,32.929648,-102.133506,North
1090,31.995,-102.828333,Far_west
1091,33.658671,-101.531037,North
1093,31.843422,-102.868295,Far_west
1094,31.843422,-102.868295,Far_west
1095,31.624,-101.65,West
1096,31.624,-101.65,West
1097,31.624,-101.65,West
1099,31.703258,-102.701206,Far_west
1100,31.703258,-102.701206,Far_west
1101,32.460054,-102.672809,Far_west
1102,32.460054,-102.672809,Far_west
1103,32.377,-101.368,North
1103,32.377,-101.368,West
1104,32.377,-101.368,North
1104,32.377,-101.368,West
1105,31.683,-101.152,West
1106,31.683,-101.152,West
1107,32.055,-101.46,West
1108,32.055,-101.46,West
1109,32.22,-102.68,Far_west
1110,32.22,-102.68,Far_west
1111,32.239,-101.014,West
1112,32.239,-101.014,West
1113,31.7983,-101.9043,Far_west
1114,31.7983,-101.9043,Far_west
1115,32.21,-102.314,Far_west
1116,32.21,-102.314,Far_west
1117,32.271,-102.1,Far_west
1118,32.271,-102.1,Far_west
1119,32.173,-101.28,West
1120,32.173,-101.28,West
1121,32.414,-101.558,North
1122,32.414,-101.558,North
1123,31.726,-101.836,Far_west
1124,31.726,-101.836,Far_west
1125,31.939,-102.78,Far_west
1126,31.939,-102.78,Far_west
1127,32.411,-101.826,North
1128,32.411,-101.826,North
1129,31.865,-102.426,Far_west
1130,31.865,-102.426,Far_west
1131,32.309,-101.902,Far_west
1132,32.309,-101.902,Far_west
1133,32.319,-101.362,West
1134,32.319,-101.362,West
2001,33.63291,-95.39071,North
2002,33.628143,-96.367605,North
2003,33.628143,-96.367605,North
2007,33.615167,-95.900109,North
2008,34.857258,-100.512868,North
2009,33.973297,-98.721096,North
2010,33.915315,-99.740278,North
2011,35.238333,-101.310833,North
2012,35.238333,-101.310833,North
2013,35.238333,-101.310833,North
2014,34.447226,-100.809848,North
2015,33.471617,-97.445189,North
2016,33.627623,-96.767394,North
2017,35.4275,-101.253056,North
2018,35.4275,-101.253056,North
2019,35.4275,-101.253056,North
2020,33.943784,-98.523064,North
2021,33.6968,-95.5577,North
2022,33.6968,-95.5577,North
2023,33.6968,-95.5577,North
2024,33.6968,-95.5577,North
2025,33.864515,-98.491046,North
2026,35.830763,-100.765905,North
2027,33.481551,-95.269247,North
2028,34.004783,-98.388757,North
2029,34.432267,-101.237233,North
2030,33.708311,-96.240654,North
2031,33.710684,-100.384217,North
2032,33.857868,-95.649137,North
2033,33.500378,-96.146489,North
2034,33.830932,-96.839764,North
2035,33.431837,-99.853667,North
2036,33.894941,-98.54367,North
2037,33.54915,-97.32958,North
2038,33.55352,-96.282897,North
2039,33.455991,-97.751818,North
2040,33.663063,-94.997258,North
2041,35.386038,-101.578572,North
2042,35.386038,-101.578572,North
2043,33.737974,-96.839543,North
2044,33.743893,-96.936121,North
2045,33.969523,-98.509016,North
2046,33.800717,-96.725989,North
2047,33.623645,-96.427874,North
2048,33.752201,-100.967402,North
2049,34.102943,-99.118746,North
2050,33.39167,-95.42519,North
2051,33.75849,-98.202251,North
2052,34.90076,-100.994549,North
2053,33.520572,-97.95612,North
2054,33.9133,-98.4931,North
2055,33.9133,-98.4931,North
2058,35.4789,-101.2439,North
2060,33.576823,-95.809701,North
2061,34.292913,-99.367734,North
